cod_persona;genero;client_type;edad;tx_incomes_frec;net_login_frec;office_visit_frec;weeks_a_nomina;nomina_time
99;V;OFICINA;0.146666667;0;0;0.014842301;11;1
100;V;OFICINA;0.16;0;0;0.081632653;3;1
101;V;OFICINA;0.226666667;0;0.020775623;0.040816327;4;1
102;V;OFICINA;0.44;0;0.083102493;0.12244898;1;1
103;V;OFICINA;0.466666667;0;0;0.428571429;1;1
104;V;OFICINA;0.28;0.025;0;0.014965986;15;1
105;M;OFICINA;0.253333333;0;0;0.156462585;9;1
106;M;ONLINE;0.293333333;0;0.11634349;0.06122449;5;1
107;M;OFICINA;0.2;0.053571429;0;0.026239067;7;1
108;V;OFICINA;0.146666667;0.024193548;0;0.019091508;31;1
109;V;OFICINA;0.106666667;0;0.083102493;0.102040816;1;1
110;V;OFICINA;0.093333333;0;0.009588749;0.007064364;26;1
111;V;ONLINE;0.32;0;0;0;5;1
112;V;OFICINA;0.2;0;0;0.047619048;3;1
113;V;OFICINA;0.266666667;0;0.083102493;0.183673469;1;1
114;M;OFICINA;0.28;0;0;0.06122449;4;1
115;V;OFICINA;0.533333333;0;0.016620499;0.134693878;5;1
116;V;OFICINA;0.253333333;0;0.083102493;0.244897959;1;1
117;V;OFICINA;0.266666667;0.0625;0;0.136054422;6;1
118;V;OFICINA;0.333333333;0;0.041551247;0.06122449;2;1
119;V;OFICINA;0.453333333;0;0;0.295918367;2;1
120;V;OFICINA;0.386666667;0;0.083102493;0.107142857;4;1
121;V;OFICINA;0.226666667;0;0.083102493;0.12244898;2;1
122;V;ONLINE;0.36;0;0;0;3;1
123;M;OFICINA;0.2;0;0;0.077922078;11;1
124;V;OFICINA;0.573333333;1;0.110803324;0.102040816;3;1
125;V;OFICINA;0.133333333;0.028846154;0.35797997;0.050235479;13;1
126;V;OFICINA;0.133333333;0;0;0.244897959;1;1
127;V;OFICINA;0.106666667;0;0;0.142857143;2;1
128;V;OFICINA;0.2;0.066964286;0.005935892;0.018221574;28;1
129;M;ONLINE;0.32;0;0.332409972;0.020408163;2;1
130;M;OFICINA;0.28;0.15;0;0.07755102;5;1
131;V;OFICINA;0.346666667;0.034090909;0.022664316;0.089053803;11;1
132;V;OFICINA;0.373333333;0;0.010387812;0.016156463;24;1
133;V;OFICINA;0.36;0;0.013850416;0.022108844;12;1
134;V;OFICINA;0.146666667;0;0.138504155;0.170068027;3;1
135;V;OFICINA;0.08;0.09375;0.010387812;0.012755102;16;1
136;V;OFICINA;0.146666667;0.041666667;0.018467221;0.14739229;9;1
137;V;OFICINA;0.253333333;0;0;0.132653061;2;1
138;M;OFICINA;0.28;0;0;0.129251701;3;1
139;V;OFICINA;0.08;0;0;0.06122449;4;1
140;M;OFICINA;0.08;0.026785714;0;0.028425656;28;1
141;M;OFICINA;0.12;0.107142857;0.083102493;0.020408163;14;1
142;M;OFICINA;0.466666667;0;0.083102493;0.19047619;3;1
143;M;OFICINA;0.386666667;0;0.010387812;0.029336735;16;1
144;V;OFICINA;0.093333333;0.098684211;0.004373815;0.019334049;19;1
145;M;OFICINA;0.04;0;0.06232687;0.045918367;12;1
146;V;OFICINA;0.266666667;0.03;0.016620499;0.019591837;25;1
147;V;OFICINA;0.453333333;0;0.498614958;0.571428571;1;1
148;V;OFICINA;0.133333333;0;0.110803324;0.292517007;3;1
149;V;OFICINA;0.066666667;0;0.037396122;0.017346939;20;1
150;V;OFICINA;0.24;0;0;0.193877551;2;1
151;M;OFICINA;0.133333333;0.045;0.043213296;0.004081633;25;1
152;V;OFICINA;0.093333333;0;0.018467221;0.054421769;9;1
153;V;OFICINA;0.08;0;0.036934441;0.024943311;9;1
154;V;OFICINA;0.12;0;0.020775623;0.06377551;8;1
155;M;OFICINA;0.08;0;0.027700831;0.047619048;3;1
156;M;OFICINA;0.133333333;0.0625;0.138504155;0.095238095;6;1
157;V;OFICINA;0.04;0.083333333;0.092336103;0.036281179;9;1
158;M;OFICINA;0.093333333;0;0.077371287;0.019704433;29;1
159;M;OFICINA;0.08;0;0.166204986;0.204081633;1;1
160;M;OFICINA;0.386666667;0;0.041551247;0.055393586;14;1
161;M;OFICINA;0.093333333;0;0;0.056122449;4;1
162;M;OFICINA;0.186666667;0;0.083102493;0.091836735;2;1
163;M;OFICINA;0.08;0;0;0.054421769;3;1
164;V;OFICINA;0.226666667;0;0;0.297959184;5;1
165;V;OFICINA;0.2;0.125;0;0.06122449;3;1
166;M;OFICINA;0.133333333;0;0.020775623;0.117346939;4;1
167;M;OFICINA;0.106666667;0;0;0.289795918;5;1
168;M;OFICINA;0.146666667;0.026785714;0.005935892;0.029154519;14;1
169;V;OFICINA;0.146666667;0.102272727;0;0.111317254;11;1
170;V;OFICINA;0.08;0;0.083102493;0.045918367;12;1
171;V;OFICINA;0.466666667;0;0.005540166;0.042176871;15;1
172;V;OFICINA;0.306666667;0.15;0;0.171428571;5;1
173;V;OFICINA;0.12;0.096774194;0;0.004608295;31;1
174;M;OFICINA;0.106666667;0;0;0.285714286;1;1
175;V;OFICINA;0.12;0;0.025569998;0.058084772;13;1
176;V;OFICINA;0.52;0;0;0.346938776;3;1
177;M;OFICINA;0.08;0;0.083102493;0.132653061;2;1
178;V;OFICINA;0.253333333;0;0;0.265306122;1;1
179;V;OFICINA;0.213333333;0.041666667;0.018467221;0.0430839;9;1
180;V;OFICINA;0.133333333;0;0.083102493;0.163265306;1;1
181;V;OFICINA;0.08;0;0.06232687;0.020408163;4;1
182;V;OFICINA;0.12;0.017857143;0;0.018464529;21;1
183;M;OFICINA;0.4;0.046875;0;0.054846939;16;1
184;M;OFICINA;0.373333333;0;0.035615354;0.064139942;7;1
185;M;OFICINA;0.453333333;0.09375;0;0.086734694;4;1
186;M;ONLINE;0.213333333;0.053571429;0.083102493;0;7;1
187;V;OFICINA;0.466666667;0;0;0.020408163;25;1
188;M;OFICINA;0.08;0;0.110803324;0.170068027;3;1
189;V;OFICINA;0.24;0;0;0.091836735;4;1
190;V;OFICINA;0.213333333;0.086538462;0.00319625;0.033751962;26;1
191;M;OFICINA;0.24;0;0;0.020408163;6;1
192;V;OFICINA;0.373333333;0;0;0.03968254;18;1
193;V;OFICINA;0.186666667;0;0;0.265306122;1;1
194;V;OFICINA;0.053333333;0.1;0;0.050340136;15;1
195;M;OFICINA;0.373333333;0;0.041551247;0.204081633;2;1
196;V;OFICINA;0.08;0;0;0.074829932;6;1
197;V;OFICINA;0.32;0.0234375;0.010387812;0.026785714;16;1
198;V;OFICINA;0.226666667;0.1;0.011080332;0.03537415;15;1
199;M;OFICINA;0.106666667;0.217105263;0.039364339;0.023630505;19;1
200;V;OFICINA;0.066666667;0;0.166204986;0.428571429;1;1
201;V;OFICINA;0.173333333;0.015625;0;0.176870748;24;1
202;V;OFICINA;0.4;0;0;0.054421769;9;1
203;V;OFICINA;0.12;0;0.008747631;0.029001074;19;1
204;V;OFICINA;0.426666667;0;0;0.12244898;4;1
205;M;OFICINA;0.226666667;0;0.011080332;0.010884354;15;1
206;M;OFICINA;0.4;0;0.083102493;0.306122449;1;1
207;V;OFICINA;0.2;0;0;0.048237477;11;1
208;V;OFICINA;0.04;0;0.033240997;0.069387755;5;1
209;V;OFICINA;0.133333333;0.041666667;0.166204986;0.024943311;9;1
210;V;ONLINE;0.093333333;0.041666667;0.2677747;0.01814059;9;1
211;M;OFICINA;0.24;0;0;0.032653061;5;1
212;V;OFICINA;0.106666667;0;0;0.13877551;5;1
213;V;OFICINA;0.133333333;0;0;0.027210884;9;1
214;V;OFICINA;0.146666667;0;0.048883819;0.009603842;17;1
215;V;OFICINA;0.12;0;0;0.032312925;12;1
216;V;OFICINA;0.173333333;0;0.036934441;0.036281179;9;1
217;V;OFICINA;0.146666667;0.0625;0.004616805;0.02154195;18;1
218;M;OFICINA;0.146666667;0;0;0.047619048;3;1
219;V;OFICINA;0.226666667;0.0625;0;0.054421769;6;1
220;V;OFICINA;0.08;0;0.041551247;0.142857143;2;1
221;V;OFICINA;0.253333333;0;0.083102493;0.0430839;9;1
222;V;OFICINA;0.186666667;0.09375;0;0.331632653;4;1
223;V;OFICINA;0.32;0;0;0.008503401;24;1
224;V;OFICINA;0.24;0;0;0.244897959;1;1
225;V;OFICINA;0.173333333;0;0.083102493;0.510204082;1;1
226;V;OFICINA;0.186666667;0;0;0.038548753;9;1
227;V;OFICINA;0.08;0;0.083102493;0.469387755;1;1
228;M;OFICINA;0.173333333;0.0625;0.013850416;0.030612245;6;1
229;V;OFICINA;0.2;0;0;0.316326531;2;1
230;V;ONLINE;0.186666667;0;0;0;6;1
231;M;OFICINA;0.133333333;0;0.005193906;0.020408163;16;1
232;V;OFICINA;0.08;0;0.083102493;0.142857143;2;1
233;M;OFICINA;0.453333333;0;0;0.295918367;2;1
234;V;OFICINA;0.16;0;0;0.724489796;2;1
235;M;OFICINA;0.426666667;0.075;0.033240997;0.12244898;5;1
236;V;OFICINA;0.013333333;0.0625;0.069252078;0.06122449;6;1
237;M;OFICINA;0.026666667;0;0.016620499;0.134693878;5;1
238;M;OFICINA;0.053333333;0;0;0.088435374;6;1
239;V;OFICINA;0.213333333;0;0.055401662;0.0430839;9;1
240;M;OFICINA;0.106666667;0.09375;0.06232687;0.071428571;4;1
241;V;OFICINA;0.146666667;0;0;0.306122449;1;1
242;V;OFICINA;0.093333333;0;0;0.244897959;1;1
243;M;OFICINA;0.2;0.1875;0.290858726;0.265306122;2;1
244;V;OFICINA;0.026666667;0;0;0.136054422;3;1
245;V;OFICINA;0.12;0;0.013850416;0.047619048;6;1
246;V;OFICINA;0.053333333;0;0;0.035714286;12;1
247;V;OFICINA;0.16;0.05;0.005540166;0.014965986;15;1
248;V;OFICINA;0.146666667;0;0.12465374;0.051020408;2;1
249;M;OFICINA;0.253333333;0;0.004373815;0.005370569;19;1
250;M;OFICINA;0.373333333;0;0;0.039615846;17;1
251;M;OFICINA;0.413333333;0.09375;0;0.071428571;4;1
252;V;OFICINA;0.24;0;0;0.036281179;9;1
253;M;OFICINA;0.346666667;0;0;0.006802721;21;1
254;M;OFICINA;0.213333333;0;0;0.112244898;2;1
255;V;OFICINA;0.093333333;0.125;0;0.074829932;3;1
256;M;OFICINA;0.106666667;0.0234375;0.067520776;0.035714286;16;1
257;V;OFICINA;0.133333333;0;0;0.040816327;4;1
258;V;OFICINA;0.32;0;0;0.045675413;21;1
259;V;OFICINA;0.053333333;0;0;0.163265306;1;1
260;M;OFICINA;0.413333333;0;0.12465374;0.204081633;2;1
261;V;OFICINA;0.44;0;0;0.053061224;10;1
262;M;OFICINA;0.026666667;0;0;0.102040816;3;1
263;V;OFICINA;0.346666667;0;0.166204986;0.12244898;1;1
264;V;OFICINA;0.066666667;0;0.027700831;0.326530612;3;1
265;V;ONLINE;0.28;0;0.129270545;0.013605442;9;1
266;V;OFICINA;0.053333333;0;0.055401662;0.06122449;3;1
267;V;OFICINA;0.146666667;0;0;0.040816327;3;1
268;V;OFICINA;0.226666667;0.125;0.138504155;0.346938776;3;1
269;M;OFICINA;0.213333333;0.025;0.011080332;0.069387755;15;1
270;M;OFICINA;0.186666667;0.1875;0;0.183673469;4;1
271;M;OFICINA;0.32;0;0;0.163265306;1;1
272;M;OFICINA;0.146666667;0.083333333;0.083102493;0.004535147;18;1
273;V;OFICINA;0.12;0;0;0.12244898;4;1
274;M;OFICINA;0.16;0.0375;0.049861496;0.026530612;30;1
275;V;OFICINA;0.12;0;0;0.093877551;5;1
276;V;OFICINA;0.133333333;0;0.024930748;0.034693878;10;1
277;V;OFICINA;0.293333333;0;0.045328633;0.035250464;11;1
278;V;OFICINA;0.106666667;0;0.013850416;0.06122449;6;1
279;M;OFICINA;0.08;0;0.026242893;0.036519871;19;1
280;V;OFICINA;0.333333333;0;0.022664316;0.035250464;11;1
281;M;OFICINA;0.133333333;0;0;0.12244898;1;1
282;V;OFICINA;0.133333333;0;0.013850416;0.051020408;6;1
283;V;ONLINE;0.293333333;0;0.095887492;0.004709576;13;1
284;M;OFICINA;0.226666667;0;0.083102493;0.612244898;1;1
285;M;OFICINA;0.36;0;0;0.306122449;1;1
286;V;OFICINA;0.12;0;0;0.047619048;6;1
287;V;OFICINA;0.253333333;0;0;0.040816327;3;1
288;V;OFICINA;0.12;0;0;0.091836735;4;1
289;M;OFICINA;0.12;0.15625;0.145429363;0.013605442;12;1
290;M;OFICINA;0.253333333;0;0.010839456;0.027506655;23;1
291;M;OFICINA;0.146666667;0.053571429;0.094974278;0.024295432;21;1
292;V;OFICINA;0.213333333;0;0;0.204081633;1;1
293;M;OFICINA;0.44;0;0;0.102040816;1;1
294;M;OFICINA;0.546666667;0;0;0.003401361;12;1
295;M;OFICINA;0.24;0;0;0.12755102;4;1
296;V;OFICINA;0.013333333;0;0;0.037414966;6;1
297;V;OFICINA;0.16;0;0.055401662;0.054421769;3;1
298;M;OFICINA;0.093333333;0.09375;0.006925208;0.015306122;12;1
299;V;OFICINA;0.133333333;0;0.415512465;0.285714286;1;1
300;V;OFICINA;0.12;0;0.016620499;0.114285714;5;1
301;M;OFICINA;0.32;0;0.020775623;0.086734694;4;1
302;M;OFICINA;0.213333333;0;0.008310249;0.1;10;1
303;V;OFICINA;0.026666667;0;0;0.142857143;3;1
304;M;OFICINA;0.08;0;0.016620499;0.089795918;5;1
305;M;OFICINA;0.186666667;0.039473684;0;0.092373792;19;1
306;M;OFICINA;0.133333333;0;0;0.285714286;1;1
307;M;OFICINA;0.24;0;0.010387812;0.086734694;8;1
308;V;OFICINA;0.226666667;0;0;0.045918367;8;1
309;M;OFICINA;0.28;0;0;0.051020408;6;1
310;V;OFICINA;0.013333333;0.034090909;0.007554772;0.055658627;11;1
311;V;OFICINA;0.2;0;0.00923361;0.020408163;9;1
312;M;OFICINA;0.133333333;0;0;0.530612245;1;1
313;V;OFICINA;0.48;0;0.457063712;0.214285714;2;1
314;V;OFICINA;0.04;0;0.041551247;0.044217687;6;1
315;V;OFICINA;0.2;0.09375;0.005193906;0.014030612;16;1
316;M;OFICINA;0.333333333;0;0;0.224489796;2;1
317;V;OFICINA;0.226666667;0;0.083102493;0.142857143;1;1
318;V;OFICINA;0.333333333;0;0;0.156462585;3;1
319;M;OFICINA;0.133333333;0;0;0.032069971;7;1
320;M;OFICINA;0.413333333;0.09375;0;0.040816327;8;1
321;V;OFICINA;0.386666667;0;0.00615574;0.044595616;27;1
322;M;OFICINA;0.186666667;0.016304348;0;0.015971606;23;1
323;M;OFICINA;0.106666667;0.019736842;0.061233416;0.006444683;19;1
324;V;OFICINA;0.253333333;0.109375;0.006925208;0.096938776;24;1
325;V;OFICINA;0.133333333;0;0.083102493;0.428571429;1;1
326;V;OFICINA;0.373333333;0;0;0.06122449;1;1
327;M;OFICINA;0.133333333;0;0.033240997;0.073469388;5;1
328;M;OFICINA;0.186666667;0;0.041551247;0.035714286;4;1
329;V;OFICINA;0.346666667;0;0.027700831;0.43537415;3;1
330;M;OFICINA;0.453333333;0;0;0.10787172;7;1
331;V;ONLINE;0.4;0;0.415512465;0.013605442;3;1
332;M;OFICINA;0.066666667;0;0;0.306122449;1;1
333;V;OFICINA;0.226666667;0;0.041551247;0.204081633;2;1
334;V;OFICINA;0.16;0;0;0.022959184;16;1
335;V;OFICINA;0.013333333;0.0625;0;0.06122449;6;1
336;M;OFICINA;0.093333333;0.09375;0.020775623;0.096938776;4;1
337;M;OFICINA;0.133333333;0;0.083102493;0.132653061;2;1
338;V;OFICINA;0.226666667;0;0;0.149659864;3;1
339;M;OFICINA;0.226666667;0.080357143;0;0.062682216;14;1
340;M;OFICINA;0.04;0;0;0.026333114;31;1
341;M;OFICINA;0.053333333;0;0;0.06122449;5;1
342;V;OFICINA;0.08;0;0;0.091836735;2;1
343;M;OFICINA;0.293333333;0.086538462;0;0.023547881;13;1
344;V;OFICINA;0.08;0;0.083102493;0.081632653;3;1
345;M;OFICINA;0.04;0;0.00923361;0.015873016;9;1
346;V;OFICINA;0.093333333;0;0.022664316;0.077922078;11;1
347;M;OFICINA;0.066666667;0;0;0.029931973;15;1
348;M;OFICINA;0.12;0;0.020775623;0.035714286;8;1
349;V;OFICINA;0.04;0;0;0.066326531;4;1
350;V;OFICINA;0.093333333;0;0;0.081632653;5;1
351;V;OFICINA;0.186666667;0;0;0.013605442;12;1
352;V;OFICINA;0.146666667;0;0;0.142857143;1;1
353;V;OFICINA;0.2;0;0;0.003401361;6;1
354;M;OFICINA;0.053333333;0;0;0.102040816;1;1
355;M;OFICINA;0.066666667;0;0.049861496;0.06122449;5;1
356;M;OFICINA;0.213333333;0;0.010387812;0.022959184;8;1
357;M;OFICINA;0.133333333;0;0.005193906;0.024234694;16;1
358;V;OFICINA;0.026666667;0;0.12465374;0.204081633;2;1
359;M;OFICINA;0.093333333;0;0.109072022;0.026785714;16;1
360;M;OFICINA;0.133333333;0;0.256862251;0.051948052;11;1
361;M;OFICINA;0.12;0;0;0.132653061;2;1
362;M;OFICINA;0.586666667;0.0375;0;0.018367347;10;1
363;V;OFICINA;0.613333333;0.025;0;0.040816327;15;1
364;M;OFICINA;0.24;0;0;0.024659864;24;1
365;V;OFICINA;0.066666667;0.1875;0.207756233;0.244897959;2;1
366;M;OFICINA;0.226666667;0.03125;0.020775623;0.037414966;12;1
367;V;OFICINA;0.08;0;0;0.026239067;7;1
368;M;OFICINA;0.12;0;0.041551247;0.102040816;2;1
369;M;OFICINA;0.16;0;0.041551247;0.173469388;4;1
370;M;OFICINA;0.426666667;0.034090909;0.052883405;0.029684601;11;1
371;V;OFICINA;0.04;0.034090909;0.007554772;0.018552876;11;1
372;M;OFICINA;0.4;0.05;0.074792244;0.01292517;30;1
373;V;OFICINA;0.066666667;0;0.193905817;0.149659864;3;1
374;V;OFICINA;0.186666667;0;0;0.035714286;4;1
375;M;OFICINA;0.4;0.057692308;0.063924995;0.026687598;26;1
376;V;OFICINA;0.066666667;0;0;0.07755102;5;1
377;V;OFICINA;0.026666667;0;0;0.011815252;19;1
378;M;OFICINA;0.133333333;0;0.027700831;0.047619048;9;1
379;V;OFICINA;0.44;0.075;0.053185596;0.019591837;25;1
380;V;OFICINA;0.373333333;0;0.027700831;0.081632653;3;1
381;M;OFICINA;0.066666667;0;0.027700831;0.054421769;3;1
382;M;OFICINA;0.133333333;0;0;0.244897959;1;1
383;M;OFICINA;0.066666667;0;0.018467221;0.054421769;9;1
384;V;OFICINA;0.16;0;0;0.129251701;3;1
385;V;OFICINA;0.066666667;0;0.011871785;0.027696793;14;1
386;V;OFICINA;0.133333333;0.09375;0.083102493;0.102040816;4;1
387;V;OFICINA;0.36;0.125;0.005540166;0.042176871;15;1
388;V;OFICINA;0.24;0.032608696;0;0.019520852;23;1
389;V;OFICINA;0.293333333;0;0;0.489795918;1;1
390;M;OFICINA;0.466666667;0;0;0.051020408;2;1
391;M;OFICINA;0.186666667;0;0.013850416;0.051020408;6;1
392;V;OFICINA;0.2;0;0;0.153061224;2;1
393;V;OFICINA;0.293333333;0;0;0.193877551;2;1
394;V;OFICINA;0.12;0;0.016620499;0.010204082;10;1
395;V;OFICINA;0.093333333;0;0.055401662;0.095238095;3;1
396;M;OFICINA;0.306666667;0.046875;0;0.089285714;8;1
397;V;OFICINA;0.253333333;0;0.00923361;0.056689342;9;1
398;M;OFICINA;0.16;0.125;0.013850416;0.034013605;24;1
399;M;OFICINA;0.146666667;0;0.228531856;0.096938776;4;1
400;V;OFICINA;0.133333333;0;0.027700831;0.265306122;3;1
401;V;OFICINA;0.306666667;0;0;0.153061224;2;1
402;V;OFICINA;0.186666667;0.375;0.332409972;0.280612245;4;1
403;V;OFICINA;0.106666667;0.053571429;0.011871785;0.034985423;7;1
404;V;OFICINA;0.44;0.025;0.005540166;0.121088435;15;1
405;M;OFICINA;0.24;0;0.020775623;0.102040816;4;1
406;V;OFICINA;0.08;0;0.007914523;0.016520894;21;1
407;V;OFICINA;0.16;0.09375;0;0.107142857;4;1
408;V;OFICINA;0.106666667;0.09375;0.06232687;0.056122449;4;1
409;V;OFICINA;0.106666667;0;0;0.020408163;15;1
410;M;OFICINA;0.266666667;0;0;0.028911565;12;1
411;V;OFICINA;0.08;0.0375;0.041551247;0.040816327;10;1
412;V;OFICINA;0.08;0;0;0.163265306;2;1
413;V;OFICINA;0.08;0;0;0.026239067;7;1
414;M;OFICINA;0.08;0;0.027700831;0.12244898;3;1
415;V;OFICINA;0.146666667;0;0.027700831;0.074829932;3;1
416;M;OFICINA;0.173333333;0.09;0.019944598;0.010612245;25;1
417;M;OFICINA;0.173333333;0;0.099722992;0.065306122;15;1
418;M;OFICINA;0.226666667;0;0;0.142857143;1;1
419;M;OFICINA;0.146666667;0;0.027700831;0.054421769;3;1
420;M;OFICINA;0.226666667;0;0.083102493;0.387755102;1;1
421;M;OFICINA;0.306666667;0;0.166204986;0.285714286;1;1
422;V;OFICINA;0.226666667;0.048913043;0.27098639;0.05501331;23;1
423;V;OFICINA;0.106666667;0;0.033240997;0.146938776;5;1
424;V;OFICINA;0.44;0.075;0.033240997;0.036734694;10;1
425;V;OFICINA;0.16;0;0.249307479;0.326530612;1;1
426;M;OFICINA;0.16;0;0.083102493;0.204081633;2;1
427;V;OFICINA;0.226666667;0.0234375;0.005193906;0.073979592;16;1
428;V;OFICINA;0.186666667;0;0;0.306122449;1;1
429;M;OFICINA;0.32;0;0.015109544;0.092764378;11;1
430;V;OFICINA;0.106666667;0;0;0.163265306;4;1
431;M;OFICINA;0.106666667;0;0.020775623;0.035714286;8;1
